Source,Target,Weight
"Tanimwarutamu, (Kiribati)","Terunganaine, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen Benita, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Terunganaine, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen Abemama, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen Benita, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Te Toa Matoa (TTM), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Seventh Day Adventist Dorcas (Church Women Fellowship) (SDA DORCAS), (Kiribati)","Te Toa Matoa (Disability Group) (TTM), (Kiribati)",1
"Relief Society, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Terunganaine, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Terunganaine, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen Benita, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Reitan Nanoia Ainen Onotoa, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Relief Society, (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Relief Society, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Relief Society, (Kiribati)","Terunganaine, (Kiribati)",1
"Relief Society, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen Benita, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Relief Society, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Terunganaine, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Terunganaine, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Reitan Ainen KUC (RAK), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Ueen Aranuka, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Ueen Aranuka, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Ueen Aranuka, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Ueen Aranuka, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Ueen Benita, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)","Ueen te Makeke, (Kiribati)",1
